UrbanArea,State,Latitude,Longitude,Population,Employment,EmploymentPercentRelativeSE,AnnualMeanWage,AnnualMedianWage,EmploymentPer1000,Location Quotient,CostOfLivingIndex,AnnualHigh,AnnualLow,AverageTemp,Rainfall
Oklahoma City,OK,35.46756,-97.516426,631346,15690,3.3,70590,66170,30,0.87,91.7,34.4,-1.8,16.35,926
Omaha,NE,41.256538,-95.934502,443885,20240,3.1,79210,78140,40,1.39,88.3,31,-11,16.4,768
Philadelphia,PA,39.952583,-75.165222,1567442,123060,2.95,89225,85410,30,1.04,126.5,30.6,-3.6,13.25,1053
Phoenix,AZ,33.448376,-112.074036,2034850,76010,3.3,83900,80750,40,1.28,100.7,41.2,7.1,23.85,204
Portland,OR,45.51223,-122.658722,632309,43580,5.7,89970,87910,40,1.26,111.3,27.3,1.8,12.45,914
Raleigh,NC,35.779591,-78.638176,451066,32790,2.4,90920,88450,50,1.81,98.2,31.6,0,16.05,1183
Reno,NV,39.529633,-119.813805,464593,3740,4.9,71340,67910,20,0.56,101.1,33.4,-3.7,12.05,188
Sacramento,CA,38.581573,-121.4944,490712,34370,3.9,87800,84940,40,1.2,116.2,33.6,3.8,16.1,470
San Antonio,TX,29.424122,-98.493629,1469845,28760,4.9,88260,80460,30,0.96,95.7,34.8,3.7,20.4,836
San Diego,CA,32.715736,-117.161087,1394928,52200,2.6,96710,93900,40,1.22,132.3,24.7,9.1,17.55,264
San Francisco,CA,37.774929,-122.419418,864816,232100,3.5,122125,117590,70,2.38,164,21.2,7.6,14.05,600
San Jose,CA,37.338207,-121.88633,1026908,132140,3.1,122900,120120,120,4.06,156.1,29.1,5.7,16.4,383
Seattle,WA,47.606209,-122.332069,684451,260790,6.05,113030,111810,70,2.44,121.4,24.6,2,11.45,943
Tucson,AZ,32.222607,-110.974709,531641,12210,4.6,80670,76720,30,1.12,96.5,38.1,5.5,21.6,303
Tulsa,OK,36.15398,-95.992775,403505,8750,6.1,71560,67090,20,0.68,88.4,33.9,-2.5,15.9,1039
Virginia Beach,VA,36.852924,-75.977982,452745,21420,4.5,83610,79090,30,0.96,111.7,30.3,1.1,15.9,1140
Washington,DC,47.751076,-120.740135,672228,424250,8.88,83088,79813,30,1.09,140.1,30.6,-2.8,13.15,1036
Wichita,KS,37.687176,-97.330055,389965,5410,5.1,69880,65100,20,0.61,86.5,33,-5.6,13.65,872
